date,event,format,teamA,teamB,map,scoreA,scoreB,playerId,nickname,team,role,side,kills,deaths,assists,adr,hs,rating
2026-09-07,社团秋季内战 第3轮,BO1,NJNU·Phoenix,NJNU·Bravo,Anubis,13,11,p11,blaze,NJNU·Phoenix,突破手,A,19,15,2,80.2,52,1.12
2026-09-07,社团秋季内战 第3轮,BO1,NJNU·Phoenix,NJNU·Bravo,Anubis,13,11,p12,frost,NJNU·Phoenix,狙击手,A,17,14,3,76.4,48,1.05
2026-09-07,社团秋季内战 第3轮,BO1,NJNU·Phoenix,NJNU·Bravo,Anubis,13,11,p13,orbit,NJNU·Phoenix,指挥,A,12,13,7,61.5,39,0.93
2026-09-07,社团秋季内战 第3轮,BO1,NJNU·Phoenix,NJNU·Bravo,Anubis,13,11,p14,pixl,NJNU·Phoenix,自由人,A,16,14,2,72.8,44,1.02
2026-09-07,社团秋季内战 第3轮,BO1,NJNU·Phoenix,NJNU·Bravo,Anubis,13,11,p15,surge,NJNU·Phoenix,支援,A,10,12,5,56.1,37,0.84
2026-09-07,社团秋季内战 第3轮,BO1,NJNU·Phoenix,NJNU·Bravo,Anubis,13,11,p6,Nova,NJNU·Bravo,狙击手,B,18,16,1,78.3,50,1.06
2026-09-07,社团秋季内战 第3轮,BO1,NJNU·Phoenix,NJNU·Bravo,Anubis,13,11,p7,Zed,NJNU·Bravo,突破手,B,14,17,2,66.9,45,0.87
2026-09-07,社团秋季内战 第3轮,BO1,NJNU·Phoenix,NJNU·Bravo,Anubis,13,11,p8,echo,NJNU·Bravo,指挥,B,11,15,6,58.2,38,0.79
2026-09-07,社团秋季内战 第3轮,BO1,NJNU·Phoenix,NJNU·Bravo,Anubis,13,11,p9,tank,NJNU·Bravo,突破手,B,13,16,3,63.7,43,0.85
2026-09-07,社团秋季内战 第3轮,BO1,NJNU·Phoenix,NJNU·Bravo,Anubis,13,11,p10,Fyze,NJNU·Bravo,自由人,B,12,16,2,60.5,41,0.82
